City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
173,Westport,US,2021-08-07 22:12:14,41.1415,-73.3579,84.02,58,1,1.01,clear sky
174,Barra Do Corda,BR,2021-08-07 22:08:31,-5.5,-45.25,83.86,37,6,4.41,clear sky
175,Voh,NC,2021-08-07 22:08:31,-20.9667,164.7,70.52,62,100,2.8,overcast clouds
176,Banda Aceh,ID,2021-08-07 22:02:52,5.5577,95.3222,79.25,84,89,6.93,overcast clouds
177,Kemijarvi,FI,2021-08-07 22:08:31,66.7131,27.4306,53.33,74,6,6.42,clear sky
178,Fortuna,US,2021-08-07 22:11:52,40.5982,-124.1573,74.86,73,1,3.0,clear sky
179,Kulykiv,UA,2021-08-07 22:08:32,50.3142,24.8176,60.67,83,3,6.76,clear sky
180,Tiksi,RU,2021-08-07 22:08:32,71.6872,128.8694,48.38,75,39,4.5,scattered clouds
181,Kijang,KR,2021-08-07 22:08:33,35.2442,129.2139,75.92,91,94,4.5,overcast clouds
182,Elizabeth City,US,2021-08-07 22:06:24,36.2946,-76.2511,75.25,95,1,3.0,light rain
183,Saint-Francois,FR,2021-08-07 22:08:33,46.4154,3.9054,62.04,72,0,5.75,clear sky
184,Monte Patria,CL,2021-08-07 22:08:33,-30.6919,-70.9467,57.25,66,1,5.37,clear sky
185,Saint-Paul,RE,2021-08-07 22:08:34,-21.0096,55.2707,69.89,67,7,4.65,clear sky
186,Pochutla,MX,2021-08-07 22:03:26,15.7432,-96.4661,85.05,72,100,5.68,overcast clouds
187,Sosva,RU,2021-08-07 22:08:34,59.1766,61.8558,53.26,97,100,9.19,overcast clouds
188,Cabras,IT,2021-08-07 22:08:35,39.93,8.5314,74.07,88,34,2.68,scattered clouds
189,Vila,PT,2021-08-07 22:12:17,42.0304,-8.1588,52.32,83,11,1.88,few clouds
190,Longyearbyen,SJ,2021-08-07 22:12:17,78.2186,15.6401,43.36,97,98,7.27,overcast clouds
191,Carson City,US,2021-08-07 22:03:38,39.1638,-119.7674,97.21,12,1,1.99,haze
192,Kavieng,PG,2021-08-07 22:12:18,-2.5744,150.7967,81.95,77,91,14.58,moderate rain
193,Svay Rieng,KH,2021-08-07 22:08:37,11.0879,105.7993,79.03,82,100,5.14,overcast clouds
194,Sabang,ID,2021-08-07 22:04:02,5.8933,95.3214,82.31,79,93,12.15,overcast clouds
195,Cervo,ES,2021-08-07 22:08:38,43.6702,-7.4101,59.97,83,5,8.55,clear sky
196,Pevek,RU,2021-08-07 22:12:20,69.7008,170.3133,42.13,73,30,6.31,scattered clouds
197,Siguiri,GN,2021-08-07 22:08:39,11.6667,-9.5,71.2,96,84,3.11,light rain
198,Oksfjord,NO,2021-08-07 22:08:39,70.2396,22.3479,59.92,65,78,7.61,broken clouds
199,Iranshahr,IR,2021-08-07 22:05:32,27.2025,60.6848,94.8,25,4,2.59,clear sky
200,Pangody,RU,2021-08-07 22:08:40,65.85,74.4859,62.71,60,1,6.64,clear sky
201,Nanortalik,GL,2021-08-07 22:08:41,60.1432,-45.2371,46.54,93,100,17.81,moderate rain
202,Kruisfontein,ZA,2021-08-07 22:08:41,-34.0033,24.7314,55.4,53,100,4.74,overcast clouds
203,San Cristobal,VE,2021-08-07 22:12:23,7.7669,-72.225,82.58,69,78,4.41,broken clouds
204,Sumbe,AO,2021-08-07 22:08:42,-11.2061,13.8437,70.61,87,25,7.43,scattered clouds
205,Thompson,CA,2021-08-07 22:08:42,55.7435,-97.8558,86.81,30,68,14.29,broken clouds
206,Dingle,PH,2021-08-07 22:12:24,10.9995,122.6711,77.25,91,93,3.36,light rain
207,Henties Bay,NA,2021-08-07 22:10:14,-22.116,14.2845,53.85,79,3,3.33,clear sky
208,Namibe,AO,2021-08-07 22:12:25,-15.1961,12.1522,69.85,80,92,2.19,overcast clouds
209,Souillac,MU,2021-08-07 22:12:26,-20.5167,57.5167,68.38,88,75,3.44,broken clouds
210,Akonolinga,CM,2021-08-07 22:08:43,3.7667,12.25,67.62,98,92,4.61,overcast clouds
211,Namie,JP,2021-08-07 22:08:43,37.4833,141.0,77.99,98,100,5.97,light rain
212,Athabasca,CA,2021-08-07 21:59:36,54.7169,-113.2854,68.83,53,97,10.02,overcast clouds
213,Pokhara,NP,2021-08-07 22:12:26,28.2333,83.9833,72.18,87,70,3.02,moderate rain
214,Pangnirtung,CA,2021-08-07 22:12:27,66.1451,-65.7125,42.87,81,98,3.83,overcast clouds
215,Boca Do Acre,BR,2021-08-07 22:08:46,-8.7522,-67.3978,89.31,33,9,1.48,clear sky
216,Iqaluit,CA,2021-08-07 22:12:27,63.7506,-68.5145,40.91,90,100,3.2,light rain
217,Puerto Baquerizo Moreno,EC,2021-08-07 22:08:46,-0.9,-89.6,70.02,75,88,14.41,overcast clouds
218,Arraial Do Cabo,BR,2021-08-07 22:08:36,-22.9661,-42.0278,69.66,68,0,10.36,clear sky
219,San Jose,US,2021-08-07 22:04:00,37.3394,-121.895,95.88,44,75,9.22,smoke
220,Hobyo,SO,2021-08-07 22:04:30,5.3505,48.5268,76.17,83,99,25.39,overcast clouds
221,Luderitz,NA,2021-08-07 22:08:47,-26.6481,15.1594,58.23,60,24,2.28,few clouds
222,Ginir,ET,2021-08-07 22:08:48,7.1333,40.7,62.51,61,80,8.19,broken clouds
223,Puerto Palomas,MX,2021-08-07 22:08:48,31.7667,-107.6167,87.13,17,5,3.78,clear sky
224,Katsuura,JP,2021-08-07 22:09:13,35.1333,140.3,78.91,97,100,26.89,very heavy rain
225,Laguna,US,2021-08-07 22:08:35,38.421,-121.4238,101.21,30,1,5.75,haze
226,Manggar,ID,2021-08-07 22:08:49,-2.8833,108.2667,82.24,78,100,9.04,overcast clouds
227,Tilichiki,RU,2021-08-07 22:08:49,60.4667,166.1,51.78,66,86,8.12,overcast clouds
228,Kaitangata,NZ,2021-08-07 22:08:49,-46.2817,169.8464,41.14,71,100,3.78,overcast clouds
229,Kahului,US,2021-08-07 22:12:30,20.8947,-156.47,86.02,60,20,24.16,few clouds
230,Port Lincoln,AU,2021-08-07 22:12:31,-34.7333,135.8667,50.56,77,0,10.0,clear sky
231,Guiong,PH,2021-08-07 22:08:51,6.4186,122.0258,77.7,86,100,9.69,moderate rain
232,Jasper,US,2021-08-07 22:08:01,37.2001,-94.3502,92.82,54,0,4.0,clear sky
233,Praxedis Guerrero,MX,2021-08-07 22:08:52,31.3667,-106.0167,100.56,15,62,3.0,broken clouds
234,Bontang,ID,2021-08-07 22:08:53,0.1333,117.5,78.08,88,100,3.4,light rain
235,Hambantota,LK,2021-08-07 22:08:53,6.1241,81.1185,79.14,94,20,9.22,few clouds
236,Harper,LR,2021-08-07 22:07:57,4.375,-7.7169,76.75,80,86,10.02,overcast clouds
237,Lysyanka,UA,2021-08-07 22:08:54,49.2523,30.8295,58.86,83,0,7.2,clear sky
238,Alofi,NU,2021-08-07 22:08:54,-19.0595,-169.9187,73.9,70,27,13.22,scattered clouds
239,Bournemouth,GB,2021-08-07 22:04:17,50.7205,-1.8795,60.82,85,0,1.99,clear sky
240,San Rafael,AR,2021-08-07 22:03:15,-34.6177,-68.3301,56.14,36,1,12.28,clear sky
241,Bengkulu,ID,2021-08-07 22:08:55,-3.8004,102.2655,75.69,90,10,3.78,clear sky
242,Ayna,PE,2021-08-07 22:08:55,-12.65,-73.9167,67.75,54,14,3.6,few clouds
243,Fairbanks,US,2021-08-07 22:10:05,64.8378,-147.7164,59.09,90,75,4.61,light rain
244,Zhangye,CN,2021-08-07 22:08:55,38.9342,100.4517,66.29,46,50,5.79,scattered clouds
245,Burgeo,CA,2021-08-07 22:08:56,47.6167,-57.6152,63.81,93,73,5.37,broken clouds
246,Fukue,JP,2021-08-07 22:05:08,32.6881,128.8419,80.4,87,100,12.33,overcast clouds
247,Hofn,IS,2021-08-07 22:12:33,64.2539,-15.2082,56.88,81,100,10.51,overcast clouds
248,Molteno,ZA,2021-08-07 22:08:57,-31.3968,26.3625,46.87,23,44,7.16,scattered clouds
249,Boyolangu,ID,2021-08-07 22:12:34,-8.1181,111.8935,73.6,96,63,0.92,broken clouds
250,Ulagan,RU,2021-08-07 22:08:57,50.6321,87.9563,47.07,91,49,1.99,scattered clouds
251,Ahipara,NZ,2021-08-07 22:08:57,-35.1667,173.1667,57.2,83,99,13.09,overcast clouds
252,Knysna,ZA,2021-08-07 22:08:58,-34.0363,23.0471,59.38,51,100,3.65,overcast clouds
253,Colares,PT,2021-08-07 22:08:58,38.7992,-9.4469,65.89,71,1,16.17,clear sky
254,Kumba,CM,2021-08-07 22:08:59,4.6363,9.4469,70.84,93,97,3.36,overcast clouds
255,Sinjar,IQ,2021-08-07 22:08:59,36.3209,41.8754,89.1,23,0,5.55,clear sky
256,Talcahuano,CL,2021-08-07 22:08:59,-36.7167,-73.1167,55.08,47,75,3.44,broken clouds
257,Kushima,JP,2021-08-07 22:09:00,31.4583,131.2333,77.04,92,97,2.19,overcast clouds
258,Mormugao,IN,2021-08-07 22:09:00,15.4,73.8,76.26,100,75,4.61,broken clouds
259,Cockburn Town,TC,2021-08-07 22:12:36,21.4612,-71.1419,85.96,66,40,11.5,scattered clouds
